Commodity,Weight_t,Cost,TotalValue,Weight_raw,ValuePerTonne
Gold,311.58,76898.59,23960074931.13,311580.18,76898585.16
Silver,1330.23,1077.24,1432979823.38,1330229.00,1077242.96
Bauxite,103255404.00,35.78,3694762559.12,103255404.00,35.78
Alumina,20980620.00,327.43,6869677826.02,20980620.00,327.43
Black Coal,556792786.00,173.62,96672838967.81,556792786.00,173.62
Cobalt,5295.00,71711.95,379714749.79,5295.00,71711.95
Copper,813144.86,12332.14,10027815578.84,813144.86,12332.14
Diamond,2.19,13.69,149785839.56,10945000.00,68426605.56
Iron Ore,922159323.32,177.41,163603715630.38,922159323.32,177.41
Manganese,6476376.98,215.01,1392453637.74,6476376.98,215.01
Nickel,150298.96,24849.52,3734856211.39,150298.96,24849.52
Lead,487563.25,2950.30,1438457078.33,487563.25,2950.30
Zinc,1322974.09,4018.16,5315922668.22,1322974.09,4018.16
Tin,8524.42,44249.19,377198816.55,8524.42,44249.19
Uranium,4075.52,94123.60,383602686.90,4075.52,94123.60